Antibiotic	Average W1	95-conf low	95-conf high	Number of Samples
All	0.906211157682	0.896454770271	0.915967545093	4073
azithromycin	0.843795171441	0.813869861845	0.873720481036	669
cefixime	0.930063676184	0.898693355505	0.961433996864	669
cefpodoxime proxetil	0.936171936759	0.90589494066	0.966448932858	236
ceftriaxone	0.917004921253	0.893108544254	0.940901298252	628
ciprofloxacin	0.849910678752	0.81232209864	0.887499258864	414
erythromycin	0.859676151162	0.828389800278	0.890962502046	178
penicillin	0.918630040785	0.888662723667	0.948597357904	414
spectinomycin	0.975360046458	0.958495075658	0.992225017257	410
tetracycline	0.929429914314	0.914147966782	0.944711861847	455
